肺泡蛋白质沉积症,约40%
髋关节滑囊炎,89%
原发免疫性疾病相关的淋巴增殖性疾病,58%
口水强迫症,94%
原发气管支气管肿瘤,治愈率83%
新生儿皮下脂肪坏死,50%
老年人食管裂孔疝,70%
Ⅰ型免疫母细胞性淋巴腺病,10%
原发性鼻腔淋巴瘤,20%
老年人室性期前收缩,30%
白毛舌,95%
进行性肥厚性间质性神经炎,30-50%，以控制症状治疗为主
原发性肠系膜肿瘤,60%
老年人室性心动过速,30%
口腔干燥综合征,97%
焦磷酸钙沉积病,70%
老年人嗜铬细胞瘤危象,60%
原发性单克隆免疫球蛋白病,30%
肺癌肝转移,40%
老年人睡眠呼吸暂停综合征,30%-40%
原发性单克隆球蛋白病肾损害,60%
颅内脂肪瘤,75%
海绵体血管瘤,30%-80%
原发性腹膜癌,80%
老年人睡眠障碍,50%
神经节苷脂沉积病,75%
克雷氏骨折,98%
老年人糖尿病,30%
原发性高血压,这个疾病一般通过药物治疗后不再加重，治疗有效率在50%以上
散发性脑炎伴发的精神障碍,55%-65%
泛细支气管炎,90%以上
原发性高脂蛋白血症与黄瘤增生病,40%
老年人糖尿病乳酸性中毒,85%
开放性骨折,95%
原发性骨髓纤维化,无法根治
老年人糖尿病肾病,35%
过敏性咽炎,98%
原发性混合型冷球蛋白血症性血管炎,10%
肝肾综合征,50%
老年人糖尿病酮症酸中毒,45%
过劳肥,98%
原发性急性闭角型青光眼,70%
老年人糖尿病性心脏病,15%
光敏性皮炎,90%
原发性甲状腺恶性淋巴瘤,30%
附红细胞体病,30%
老年人糖尿病周围神经病,30%
原发性巨球蛋白血症,40%
急性包皮炎,97%
输精管缺如,80%
原发性巨球蛋白血症肾损害,50%
孤独症谱系障碍,50%
急性淋病,91%
遗尿,95%
原发性卵巢绒癌,60%
腹膜后脂肪瘤,60--80%
原发性慢性闭角型青光眼,65%
急性粒细胞性白血病,40-60%
腓总神经卡压症,70%-80%
原发性皮肤滤泡中心细胞性淋巴瘤,40%
老年人特发性肺纤维化,20%
睡眠型癫痫,70%
距骨骨折脱位,93%
原发性皮肤免疫细胞瘤,65%
老年人痛风,65%
发热伴血小板减少综合征,95%
原发性脾淋巴瘤,80%
急性假膜型念珠菌口炎,97%
原发性青少年型青光眼,84%(早期诊断、及时治疗，可以达到84%)
聚合性痤疮,50--70%
急性化脓性腹膜炎,95%
老年人脱水,90%
原发性乳腺淋巴瘤,60%
胫腓骨骨干骨折,98%
急性腹泻,98%
原发性腮腺淋巴瘤,外科手术治愈率约为40%
进行性肢端黑变病,70%
乳腺结节,87%
老年人胃癌,50%
原发性肾上腺皮质功能减退症,不能治愈
胫腓下联合前部分离,70%
老年人胃食管反流病,60%
原发性渗出性淋巴瘤,80%
肾盂旁囊肿,81%
髋关节前脱位,90%
老年人稳定型心绞痛,65%
原发性十二指肠恶性淋巴瘤,63%
肾性水肿,30%
缺水和缺钠,90%
老年人无症状性心肌缺血,75%
原发性食管恶性黑色素瘤,不足10%
老年人吸入性肺炎,70%
原发性食管恶性淋巴瘤,40%
桡骨颈骨折和桡骨头骨骺分离,60%-70%
中东呼吸综合征,暂无可参考数据
老年人细菌性脑膜炎,81.2%
原发性痛经,85%
桡骨茎突部狭窄性腱鞘炎,65%-80%
老年人夏伊-德雷格综合征,50%
泛细支气管炎-测试,
原发性系统性淀粉样变,预后较差，30%-50%
桡骨远端骨骺分离,70%
老年人先天性心血管疾病,
原发性纤维蛋白溶解症,60%
乳腺结节-测试,
锁骨下动脉盗血综合征,65%
老年人消化性溃疡,70%
原发性限局性皮肤淀粉样变,75%
枢椎椎体骨折,85%
老年人心房扑动,70%
颈椎先天融合畸形,20-30%
念珠菌性包皮龟头炎-测试,
老年人心房纤颤,50--70%
原发性小肠溃疡,85%
咽部及颈部食管闭合性损伤,86%
原发性小肠淋巴管扩张症,75%
老年人心肌梗死,70%-90%
疖与疖病,80%
原发性心脏淋巴瘤,50%
老年人心力衰竭,75%
原发性婴幼儿型青光眼,70%
非依赖性物质伴发依赖,80%
原发性中枢神经系统淋巴瘤,外科手术治愈率约为75%，具体根据肿瘤的性质而定
老年人心内膜炎,80%
软化斑,75%
圆形糠疹,经过治疗98%痊愈
远视,佩戴眼镜矫正率约为95%
老年人心脑综合征,30-50%
软骨黏液样纤维瘤,95%
月经性哮喘,80%
眼眶神经鞘瘤,20%
老年人心室扑动与颤动,80%
月经疹,70%
老年人心源性休克,30%
运动员胸背与腰背痛,80%
胎儿窘迫,90%
老年人心脏传导阻滞,60%
运动障碍疾病,60%
结膜结核病,60%
老年人心脏猝死,35%
甲流,80%
早期乳腺癌,90%
老年人心脏淀粉样变性,对症治疗为主，无法根治
早期婴儿型癫痫性脑病,70%
早熟性儿童乳房肥大症,81%
老年人胸腔积液与胸膜炎,75%
造影剂肾病,85%
眶骨膜下脓肿,30%
噪声病,80%
老年人血管性痴呆,10%
增生性玻璃体视网膜病变,10%
绿脓假单胞菌属感染,50%
老年人血栓性疾病,70%
增生性骨关节病,20%
眼眶静脉性血管瘤,70-80%
老年人炎症性肠病,70-80%
眼球震颤阻滞综合征,75%
老年人厌氧菌性肺炎,92%
眼科重症肌无力,30%
增生性毛根鞘瘤,外科手术治愈率约为80%
惊恐症,75%
老年人阳性杆菌肺炎,92%
增殖性红斑,30-50%，多以控制症状治疗为主
胃出血-测试,
间接型颈动脉海绵窦瘘,70%
增殖性皮炎,80%
过敏性皮炎-测试,
圣路易斯型脑炎,65%
谵妄,95%
老年人药物性肝病,75%
蝎螫伤,90%
老年人胰腺癌,75%
掌侧化脓性腱鞘炎、滑囊炎和深间隙感染,70--80%
间质性肺炎-测试,
少年儿童葡萄膜炎,80%
掌跖脓疱病,85%-90%
洋葱假单胞菌肺炎,75%
掌跖纤维瘤病,30%
老年人异位抗利尿素分泌综合征,40%
柯萨奇病毒疹,90%
掌指骨结核,65%
口蹄疫,95%
老年人预激综合征,50%
蔗尘肺,70%
全身性特发性毛细血管扩张症,55-70%
真菌过敏性哮喘,60%
肉瘤,35%
老年人原发性肝癌,25%
真菌性关节炎,70-85%
恙虫病性肺炎,80%
老年人原发性高血压引起的良性小动脉肾硬化,10%
真菌性食管炎,70%
甲沟炎和甲下脓肿,80%
老年人原发性骨髓纤维化,10%
枕骨下硬结性毛囊炎,70%
神经白塞病,54%
枕颈关节损伤,40%
甲状腺功能减退性心肌病,90%
老年人原发性血小板增多症,45%-65%
老年人院内获得性肺炎,85%
正常颅压脑积水,85%
四边孔综合征,80%
老年人运动神经元病,60%
正常眼压性青光眼,80%
阴囊丝虫病,40%
老年人再生障碍性贫血,30%
支气管肺隔离症,90%
成人类风湿性关节炎性巩膜炎,85%
老年人真性红细胞增多症,74%
支气管源性囊肿,80%
大脑大静脉瘤,85%
老年人阵发性室上性心动过速,30%
支气管中心性肉芽肿病,40%
肺隔离症,40%
老年人正常压力脑积水,20%
肢端肥大症,60%
肺疝,50%
肢端肥大症性心肌病,40%多以对症治疗为主
老年人支气管扩张,60%
白蛉热,85%
肢端纤维角化瘤,75%
老年人支气管哮喘,70%
放射性脊髓病,50-60%
脂肪营养不良,75%
老年人支原体肺炎,治愈率87.8%
非典型分枝杆菌性巩膜炎,60%
脂肉瘤,20%
老年人脂肪肝,45%
肺转移性肿瘤,5年生存率取决于肿瘤类型，一般仅为20%左右
脂性渐进性坏死,65%
老年人终末期肺炎,45%
肺真菌病,80%
脂溢性角化病,75%
蜘蛛痣,60%
老年人重症肌无力,10%
铬及其化合物引起的皮肤病,70%
直接型颈动脉海绵窦瘘,外科手术治愈率约为60%
老年人蛛网膜下腔出血,10%
感染性血小板减少性紫癜,95%
职业性皮肤癌,10%
老年人主动脉夹层分离,70%
过敏性血管炎,75%
职业性哮喘,多以控制症状为主
老年人主动脉瘤,55%
过敏性急性小管间质性肾炎,70%
职业性硬皮病,60%-70%
老年人椎基底动脉供血不足,60%
共济失调,70%
职业病,70%
老年人自发性气胸,60%
呼吸道合胞病毒感染,75%
跖管综合征,55%-75%(外科手术治疗)
急性肺源性心脏病,需要终身治疗，目前不能治愈
老年褥疮,15%
指甲-髌骨综合征,对症治疗，无法根治
老年收缩期高血压,需长期对症治疗
卡斯钦-贝克病,60%
指节垫,60%
Leber遗传性视神经病变,70%
老年心肌病,有效治愈率65%
致肠细胞病变人孤儿病毒感染,70%
硫化血红蛋白血症,75%
致密性骨发育障碍,65%
老年性癫痫,10%
流行性甲型脑炎,83%
致心律失常性右室心肌病,30%
老年性慢性硬膜下血肿,75%
皮层性多汗症,40%-60%
痔,80%
老年性皮肤萎缩,40%
青春发育延迟及性幼稚,40%
中毒性白内障,80%
老年性外阴萎缩,30%
气球状细胞痣,30%
中毒性高铁血红蛋白血症,95%
气管闭合性损伤,90%
老年性舞蹈病,10%
乳头的乳头状瘤,65%
中毒性红斑,85%
中青年脑梗死,60%-75%
手癣,60--80%
中枢神经系统白血病,30%
小儿颅后窝室管膜瘤,60%
中枢神经系统肉芽肿性血管炎,40%
中枢神经细胞瘤,75%
硒及其化合物引起的皮肤病,80%
中性粒细胞增多症,70%
中央晕轮状脉络膜萎缩,60%-75%(外科手术治疗)
老年性心瓣膜病,62%
中叶综合征,45-55%
老年休克,75%-85%
小儿感染性心内膜炎,40%
种痘并发症,50%
老视,无法治愈
新生儿化脓性脑膜炎,80%
重链病,30%
新生儿水肿,95%
乙脑伴发的精神障碍,60%
勒夫勒心内膜炎,75%
重症联合免疫缺陷,本病很难根治（本病多死于2岁以内）
延迟性应激反应,75%
雷凡斯坦综合征,40%
重症院内获得性肺炎,60%
煤炭工尘肺,需要终身治疗，目前不能治愈
泪囊肿瘤,60%
舟骨骨折,95%
穿凿脓肿性头部毛囊炎及毛囊周围炎,70%
泪腺多形性腺癌,75%
肘内翻畸形,75%
窦性心动过缓,70%
珠蛋白生成障碍性贫血,70%
泪腺多形性腺瘤,外科手术治愈率约为75%-85%
珠蛋白生成障碍性贫血视网膜病变,手术治疗，治愈率40%
单眼双上转肌麻痹,65%
泪腺炎,80%
猪带绦虫病,75%-85%
肺胸膜阿米巴病,60%
伏格特-小柳-原田综合征,35-45%
主动脉弓综合征视网膜病变,30%
转换性障碍,70%
类丹毒,85%
房室交接区性期前收缩,80%
类肺炎性胸腔积液,50-70%
转移性肝癌,几乎不能治愈
类固醇后脂膜炎,80%
转移性骨肿瘤,根据病情，生存期有不同
类固醇肌病,30%
钒及其化合物引起的皮肤病,90%
类圆线虫病,60%
肺动脉发育不全,10%
转移性皮肤钙化病,80%
类脂性肺炎,60%
冠状动脉粥样硬化性心脏病,70%
转移性小肠肿瘤,外科手术治愈率约为45%
类脂质蛋白沉积症,30%
间歇依赖型尖端扭转型室性心动过速,60%
椎动脉型颈椎病,90%
冷抗体型自身免疫性溶血性贫血,60%
急性高原病,85%
椎管内结核瘤,70%
冷凝集素综合征,90%
雷诺氏病,30%
冷球蛋白血症,50%
松弛性跖痛症,30-50%
椎管内转移性肿瘤,65%
冷球蛋白血症肾损害,50%
晚期产后出血,87%
梨状肌症候群,70%
椎间盘钙化症,10%
完全性房室传导阻滞,80%
理发师皮炎,65%-75%
椎间隙感染,60%
新生儿暂时性脓疱性黑变病,65%
锂肾病,20%
椎体爆裂骨折,60--80%
血管免疫母细胞性淋巴结病,60%
立氏立克次体斑疹热,80%
椎体严重楔形变并伴小关节半脱位,60%
血栓形成,65%
锥虫病,外科手术治愈率约55-65%
着色性干皮病,以改善症状治疗为主，治愈率40%
心室肌致密化不全,75%
着色芽生菌病,40-50%
小儿睾丸扭转,85%
子宫恶性中胚叶混合瘤,5%-10%
利德尔综合征,40%
先天性短结肠,85%
子宫颈平滑肌瘤,89.3%
镰刀菌病,60-70%
血管脂肪瘤,30%
子宫颈肉瘤,65%
子宫内翻,外科手术治愈率约为70%
镰状细胞贫血眼部病变,55%
亚急性坏死性脊髓炎,手术治愈率约为80%
镰状细胞性肾病,80%
坐骨疝,外科手术治愈率约为75%-85%
良性淋巴细胞血管炎和肉芽肿病,50%
左心房心律,50%
子宫内膜结核,治愈率82.4%
良性颅内高压症,70%
注意缺陷障碍,85%
子宫内膜息肉,95%
裂沟舌,90%
阿洪病,30-50%
子宫内膜异位,95%
裂谷热,70%
暴发性肝衰竭,10%
裂头绦虫病,70%
闭合性脊髓损伤,85%
裂头蚴病,40%
彼得异常,70%
子宫平滑肌肉瘤,5年生存率多数报道较好，范围在20%～63%(平均47%)
淋巴瘤样丘疹病,70%
避孕后闭经综合征,80%
紫癜性扁平苔藓,60%
淋巴瘤样肉芽肿,40%
猝死型冠心病,40%
淋巴瘤引起的肾损害,10%
淋巴细胞性脉络丛脑膜炎,6%
自发性脑室内出血,70%
肠系膜动脉瘤,70-80%
淋球菌性腹膜炎,80%
自发性气胸,75%-85%
肠子宫内膜异位,93%
自律性房性心动过速,70-80%
藏毛窦和藏毛囊肿,
淋球菌性结膜炎,70%左右
自然流产,治愈率70%
肠道短路关节炎皮炎综合征,50%
磷脂酰胆碱-胆固醇酰基转移酶缺乏,30%
自身红细胞过敏性紫癜,60%
流感嗜血杆菌肺炎,治愈率91%
肠道息肉病,手术切掉，95%，但易复发
自身免疫性甲状腺疾病相关肾病,30%
流感嗜血杆菌感染,治愈率99.2%
肠系膜脂肪炎,75%
自身免疫性胰腺炎,95%
胆总管结石,97%
流感嗜血杆菌脑膜炎,60%
大肠腺瘤,外科手术治愈率约为75-80%
自身免疫性孕酮性皮炎,30%
自体敏感性湿疹,95%
胆汁性腹膜炎,外科手术治愈率约为90%
龙线虫病,40%
毒瘾,75%
纵隔非霍奇金恶性淋巴肿瘤,外科手术治愈率约为70%
隆突性皮肤纤维肉瘤,45%
纵隔非霍奇金淋巴瘤,手术治疗，治愈率40-50%
骶骼筋膜脂肪疝,80%
颅骨骨膜窦,65%
纵隔副神经节起源的肿瘤,70%左右
颅骨结核,32%
α-贮存池病,30-50%
纵隔霍奇金淋巴瘤,75%
颅骨巨细胞瘤,80%
纵隔畸胎瘤,70%(外科手术治疗)
沙漠疮,50%
颅骨裂和有关畸形,手术治疗，治愈率不足20%
颅后窝室管膜瘤,40%
福克斯-阜太斯病,80%
纵隔间叶源性肿瘤及其他肿瘤,60%
颅后窝血肿,85%
副乳乳腺癌,60%
纵隔囊肿,70%
颅内海绵状血管瘤,85%
钩虫皮炎,70%
纵隔囊肿及肿瘤,60%
肝错构瘤,95%
颅内黑色素瘤,外科手术治愈率约为50%
纵隔疝,60%
肛管癌,60%
颅内畸胎瘤,70%
化脓性甲沟炎,95%
纵隔神经鞘源性肿瘤,50%
颅内脊索瘤,65%-75%
回旋形线状鱼鳞病,35%
纵隔肿瘤,65%
蛔虫性肠梗阻,80%
足穿通性损害,75%
霍奇金病,5年生存率50%
颅内静脉窦闭塞性颅高压,20%
足跟瘀斑,70%
颅内静脉血栓形成,70%
弹响肩胛,70%
组织细胞吞噬性脂膜炎,以对症治疗为主，完全治愈率约为20%
颅内生殖细胞瘤,75%
组织细胞纤维瘤,76%
急性胆源性胰腺炎,80%
颅内肿瘤,5年生存率为36.2%，10年生存率为21.6%
左后分支传导阻滞,10%
克拉伯病,30%
颅内肿瘤伴发的精神障碍,跟肿瘤性质部位不同
左前分支传导阻滞,70%
溃疡病出血,100%
颅内肿瘤性出血,手术治愈率约60%
鳞状毛囊角化病,50%
铝尘肺,70%
巴德-吉亚利综合征,65%
铝骨病,60%
绿猴病,20%
氯气中毒,30--50%
卵巢成熟畸胎瘤,98%
罗阿丝虫病,40%-60%
左束支传导阻滞,75%
卵巢恶性腹膜间皮瘤,60%
良性脂肪母细胞瘤,65%
老年甲状腺功能减退症,85%以上可以通过药物控制
卵巢恶性中胚叶混合瘤,本病无法完全治愈，一般经过治疗后5年生存率在30-50%
左束支中隔支传导阻滞,90%
卵巢功能缺如综合征,60%
左心室恶性施万瘤,78%
卵巢功能异常综合征,70-80%
坐骨神经盆腔出口狭窄症,21%
狼疮肾炎,60%
卵巢宫内膜样肿瘤,20%
坐骨神经损伤,50--70%
蓝痣,65%
卵巢冠囊肿,外科手术治愈率约为85-90%
Mirizzi综合征,80%
卵巢过度刺激综合征,40%
盲襻综合征,30%
卵巢环管状性索肿瘤,25%
尼兹诺夫综合征,85%
巴贝虫病,65%
卵巢黄体囊肿破裂,90%
卵巢混合性生殖细胞-性索间质肿瘤,69%
农药中毒所致的精神障碍,30%
卵巢肌肉来源肿瘤,75%
囊状淋巴管瘤,40%
卵巢浆液性肿瘤,70%
铍及其化合物引起的皮肤病,30%
卵巢交界性肿瘤,65%
卵巢颗粒细胞瘤,75%
卵巢两性母细胞瘤,60%
POEMS综合征,40%
Alagille综合征,本病的治愈率应该在60%左右
卵巢卵黄囊瘤,85%
器械性食管损伤,外科手术治愈率约为75%-80%
情感性心境障碍,85%
肩周炎,80%
卵巢泡膜细胞瘤,60%
水母皮炎,65%
白睛溢血,100%
四肢淋巴水肿,75%
白痢,80%
卵巢妊娠,治愈率77%
白膜侵睛,70%
卵巢透明细胞肿瘤,10%
白秃疮,50%
十二指肠炎,86%
卵巢未成熟畸胎瘤,80%
白屑风,50%
十二指肠重复畸形,外科手术治愈率约为40%
卵巢无性细胞瘤,60%
白淫,80%
史密斯骨折,70%
卵巢纤维瘤,98.1%
食管受压性吞咽困难,70%
卵巢纤维瘤病,80%
食管肉瘤,20%
卵巢纤维组织来源肿瘤,50%
胞痹,75%
卵巢小细胞癌,20--30%
食管蹼和食管环,70%
胞生痰核,60%
卵巢硬化性间质瘤,65%
食管贲门黏膜撕裂综合征,75%-85%
暴痢,85%
卵巢肿瘤,85%
食管壁内憩室,40%
暴泻,90%
食管外压和牵拉,75%
卵巢肿瘤破裂,5%
背痈,80%
沙雷菌肺炎,80%
卵巢重度水肿,外科手术治愈率约为90%
奔豚气,90%
卵黄状黄斑营养不良,50%
听力障碍,60%
崩漏,99.8%
卵泡囊肿,70-80%
糖原贮积病,74%
鼻疔,95%
卵泡腺细胞增殖综合征,75%
鼻鼽,85%
特发性肺含铁血黄素沉着症,70%
螺菌病,60%
闭经性头痛,50%
无机盐所致的皮肤病,85%
瘰疬分枝杆菌感染,40%
胃窦血管扩张症,60-70%
瘰疬性皮肤结核病,50%
痹证,85%-90%
稳定型心绞痛,75%
瘰疬性苔藓,95%
玻璃体疝,80%
网状红斑萎缩性毛囊炎,68%
洛博芽生菌病,30-50%
先天性尺骨缺如,10%
蚕豆病,95%
先天性腓骨缺如,60%
疟疾肾病,10%
产后喘促,70%
诺卡菌性巩膜炎,50%
小儿洋地黄中毒,85%
产后风,80%
巯甲丙脯酸肾损害,治愈率约为40-60%
小儿帕套综合征,80%
产后痉症,85%
乳房单纯囊肿,50%
小肠扭转,80%
产后劳伤,99%
乳头溢液,90%
小儿小颌畸形综合征,外科手术治愈率约为40-70%
产后目病,90%
须部假毛囊炎,65%-80%
乳腺导管扩张症,90%
产后三冲,80%
先天性食管憩室,60%
产后三急,95%
小儿先天性卵巢发育不全,0.1%
乳腺囊性增生病,60%
产后伤食,90%
乙型病毒性肝炎,71%
产后虚羸,90%
乳腺腺病,90%
中枢神经系统淋巴瘤,外科手术治愈率约为40%
右室心肌梗死,60%
产后血虚热,95%
Machado-Joseph病,对症治疗为主，无法彻底根治
幽门螺杆菌感染,81%
产后血瘀,95%
Morton跖头痛,30%(手术治疗)
产褥中暑,90%
麻痹性痴呆,40%
颤证,85%
麻风性葡萄膜炎,70%
真菌性心包炎,45%-75%
麻风性周围神经病,10-20%
肠风,80%
真菌性巩膜炎,97%
麻疹样红斑,80%
肠结,98%
马尔尼菲青霉病,60%
肠郁,90%
马方综合征,25%-40%
常染色体隐性遗传性脑动脉病伴白质脑病,2%
马拉色菌病,40%
巴西紫热,40%
潮热,60-70%
脉络丛乳头状瘤,50%
成人肥大性幽门狭窄,65%(外科手术治疗)
赤白游风,55%-65%
脉络膜出血,60%-75%
多乳房,98%
脉络膜骨瘤,80%
赤痢,40%
低钾血症肾病,30%
赤脉传睛,50-70%
脉络膜脱离,60%
非ST段抬高心肌梗死,79%
赤脉贯布,70%
脉络膜脱离型视网膜脱离,外科手术治愈率约为60-70%
脉络膜新生血管,80%
赤膜下垂,80%
肝脏疾病所致贫血,62%
脉络膜血管瘤,手术治愈率约为60-70%
赤丝虬脉,65%
高颅压性脑积水,75%
螨皮炎,94%
赤游丹,70%
急性蜂窝织炎,98%
虫臌,60%
脊膜瘤,80%
虫积,75%-85%
急性视网膜坏死综合征,30%
虫证,80%
喘证,70%
慢性创伤性滑囊炎,70%
疮疡,90%
慢性颈部软组织损伤,80%
免疫缺陷性肺炎,60%
大肠湿热,60-80%
慢性酒中毒,40%--50%
小儿尿路感染,97%
大头瘟,50%
小儿肾性氨基酸尿症,60%
带下病,90%
慢性卡他性结膜炎,40%-60%
原发性阿米巴脑膜脑炎,30%
慢性溃疡性非肉芽肿性空肠回肠炎,80%
丹痧,75%
阿克森费尔德-里格尔综合征,80%
胆咳,60%
慢性劳损性腰背痛,60%
Austin型幼儿脑硫脂病,70%
胆热,89.9%
慢性盆腔炎,80%
阿司匹林诱发哮喘,80%
慢性肾性贫血,75%
慢性腰部劳损,40%
海绵状淋巴管瘤,60%
胆石,90%
慢性自身免疫性甲状腺炎,60%
颈椎单侧及双侧小关节脱位,70%
胆胀,60%
脊髓血管畸形,85%
慢性纵隔炎,60-70%
癫病,30%
酒精中毒性肌病,40%
慢性阻塞性肺疾病,需要终身治疗，目前不能治愈
癫狂病,65%
老年大便失禁,治愈率71%
盲肠扭转,85%
盲肠旁疝,外科手术治愈率约65%
肋骨骨髓炎,70%
电脑病,60%
疔疮,95%
淋巴细胞性垂体炎,80%
毒热侵肤,60%
猫抓病,65%-75%
脑干胶质瘤,30%
顿呛,95%
偏执狂,10%
毛孢子菌病,70-80%
恶寒发热,90%
帕金森病性痴呆,80%(一般有效缓解后，80%不在发展)
毛滴虫病,85%
Stargardt病,75%
毛根鞘癌,外科手术治愈率约为40-50%
儿童顿咳,95%
毛霉病,90%
耳疮,80%
毛母质瘤,95%
毛囊角化病,目前尚无满意疗法，多以对症治疗为主。
三叉神经营养性损害,80%
毛囊瘤,70%
糖代谢异常伴发的精神障碍,20%
毛囊漏斗肿瘤,45%
耳疔,80%
奥迪括约肌功能异常,85%
新生儿巨细胞病毒感染,95%
耳疖,90%
毛囊脓疱病,60%
小儿脑性瘫痪,30%
毛囊皮脂腺囊性错构瘤,85%
耳痈,94%
症状性癫痫综合征,70%
反社会人格障碍,90%
镇痛剂肾病,70%
毛囊性黏蛋白病,35%，多以控制症状为主
反射性神经障碍症,30%
毛囊性鱼鳞病,85%
周围动脉栓塞,80%
房事头疼症,73%
多发性脑膜瘤,30%
飞扬喉,80%
高眼压症,70%
肥疮,85%
急性腮腺炎性睾丸炎,60%
肥气,80%
克雷白杆菌属感染,98%
嘧啶5′-核苷酸缺乏症,20%
毛囊周围纤维瘤,80%
维生素D缺乏病,91%
肺闭喘咳,60%
毛盘瘤,75%
维生素E缺乏神经病,50%
肺风粉刺,90%
毛胚细胞瘤,80%
新生儿发热,95%以上
肺咳,95%
血卟啉病性周围神经病,30%
毛鞘棘皮瘤,外科手术治愈率约为65%-80%
肺络张,75%
下丘脑综合征,75%
毛细淋巴管瘤,75%
显微镜下多血管炎,85%
毛细血管或静脉血栓形成,30--50%
肺气虚,90%
缢死,一般发现后就已经死亡，治愈率很低
肺热咳嗽,99%
毛细血管扩张性共济失调综合征,30%
百草枯中毒,3%
肺功能衰竭,80%
毛细血管扩张性环状紫癜,65%
复孔绦虫病,80%
肺衰,40%
毛圆线虫病,40%
鞍结节脑膜瘤,30%
肺痿,70%
毛状白斑,65%
过敏性紫癜肾炎,70%
肺胀,60%
梅毒性巩膜炎,95%可以治愈
获得性血友病,无法根治，对症治疗为主
梅毒性骨软骨炎,60%
女性性高潮障碍,85%
风痹,95%以上
梅毒性关节炎,70-80%
脾良性肿瘤,外科手术治愈率约为60-80%
风寒犯肺,90.7%
梅毒性角膜病变,75%
葡萄状肉瘤,35%治愈率
风寒感冒,80%
梅毒性葡萄膜炎,80%
失盐性肾炎,40-50%
风寒头痛,85%
梅克尔细胞癌,外科手术治愈率约为60%
维斯科特-奥尔德里奇综合征,74%
风轮赤豆,70%
梅勒尼坏疽,60%
遗传性蛋白C缺陷症,10%
风轮湿热,40-50%
梅尼埃病,70%，多以对症治疗为主
小儿过敏性紫癜,65%
风秘,30-40%
湄公血吸虫病,30%
血管内大B细胞淋巴瘤,30%
风牵偏视,30-50%
门静脉高压性胃病,外科手术治愈率约为65%
新生儿持续性肺动脉高压,20-40%
风热疮,80%
门静脉血栓形成,20%
风热犯肺,70-80%
门脉高压性肠病,10%
新生儿肾静脉血栓,20%
风热感冒,98%
弥漫性空回肠溃疡,75%(外科手术治疗)
风热头痛,98%
异尖线虫病,60-70%
弥漫性食管壁内憩室,90%
左房恶性黏液瘤,40%
弥漫性掌跖角化病,60%
多发性骨骺发育不良,无法根治，对症治疗为主
风搔痒,85%
米氏链球菌肺炎,90%
多发性肌炎和皮肌炎伴发的精神障碍,对症治疗
泌尿道肿瘤,70%
风温,90%
泌尿道肿瘤皮肤转移,60%
混合瘤,85%
肤胀,60%
泌尿生殖系阿米巴病,70-80%
巨细胞动脉炎和风湿性多肌痛,50%
伏梁,80%
泌尿生殖系滴虫病,80%
结节性多动脉炎伴发的葡萄膜炎,40%
伏暑,85%-95%
泌尿生殖系放线菌病,40%
皮肤颌口虫病,60%
妇女咳嗽性遗尿,80%
泌尿生殖系棘球蚴病,80%
艾滋病神经系统损害,0%无有效治疗方式
泌尿生殖系血吸虫病,60%
瑞尔黑变病,无法根治
泌尿生殖系真菌病,30%
痛风性心肌病,80%
泌尿生殖系支原体感染,80%
复发性多软骨炎性,90%
血清病和血清病样反应,30%--50%
干槽症,75%(外科手术治疗)
棉尘肺,40%
原发性皮肤B细胞淋巴瘤,80%
干血痨,50%
药物或化学物质所致的色素沉着,60%
面部播散性粟粒状狼疮,60%
肝胆湿热,80%
重金属中毒性肾病,50-60%
面部脓皮病,40%
肝风内动证,60%
癌肿性关节炎,45%
肝火犯肺,100%
动脉阻塞或狭窄视网膜病变,50%
面部偏侧萎缩,60%
肝火上炎证,85%-95%
肺并殖吸虫病,75%
肝火眩晕,90%
肺孢子丝菌病,85%
肝厥,80%
继发于无晶状体眼和人工晶状体眼的青光眼,60%
面部肉芽肿,65%
肝咳,75%
面肌抽搐,40%
肝热病,90%
慢性萎缩性肢皮炎,20%
面颈部毛囊性红斑黑变病,30-50%
肝胃不和,95%
食管梅毒,30%
肝瘟,95%
面瘫唇肿裂纹舌综合征,对症治疗为主，治愈率约为60%
梭形细胞血管内皮细胞瘤,60%
外伤性硬膜下积液,50%
摩擦黑变病,80%
胸内甲状腺肿,85%(外科手术治疗)
肝血虚证,90%
摩擦性苔藓样疹,40%
心脏横纹肌瘤,85%
肝炎,70%
摩根菌肺炎,75%
肝阳上亢,80%
幼儿急疹,95%
木村网状肢端色素沉着,70%
永存原始玻璃体增生症,50%
肝著,65%
原卟啉病,60%
肛廔,90%
赖特综合征性巩膜炎,60%
原藻病,30%
骨膜炎,75%
内分泌性肌病,75%
纵隔气肿,70%
骨蒸,75%
椎动脉创伤性栓塞,70%
鼓胀,70%
内脏利什曼病,20--40%
瓜藤缠,90%
内脏血吸虫炎,40%
关格,70%
假性动脉瘤,70%
东方马型脑炎,30-40%
男假两性畸形,40%
腘动脉损伤,70%
呃逆,98%
男性青春期乳房发育,99.1%
腘肌肌腱炎,80%
耳湿疹,80%
男性性早熟,80%
腘动脉陷迫综合征,30%
黄斑裂孔性视网膜脱离,40%
男子雄激素源性秃发,治愈率82%
过敏性眼睑皮肤炎,70-80%
脊柱裂和有关畸形,10%
脊疳,60%
脊髓型颈椎病,60%
难治性心力衰竭,75%
