肺泡蛋白质沉积症,约3个月
蚕豆病,2-4周
先天性腓骨缺如,2-4周
疟疾肾病,30天
产后喘促,3-7天
诺卡菌性巩膜炎,7--10天
小儿洋地黄中毒,10天
产后风,1-3个月
巯甲丙脯酸肾损害,6-12月
小儿帕套综合征,1-3个月
产后痉症,3-6周
乳房单纯囊肿,2-4月
小肠扭转,7天-21天
产后劳伤,30天
乳头溢液,2-4周
小儿小颌畸形综合征,3-6个月
产后目病,10-30天
须部假毛囊炎,1-3个月
乳腺导管扩张症,1-3个月
产后三冲,一个月
先天性食管憩室,10-30天
产后三急,1-2周
小儿先天性卵巢发育不全,1-2年或更长
乳腺囊性增生病,1-3个月
产后伤食,2-3周
乙型病毒性肝炎,1-3月
产后虚羸,1-3个月
乳腺腺病,2-4月
中枢神经系统淋巴瘤,2-3年
右室心肌梗死,4周
产后血虚热,1个月
Machado-Joseph病,终身间歇性治疗
幽门螺杆菌感染,30天
产后血瘀,1个月
Morton跖头痛,3-6个月
产褥中暑,1-3个月
麻痹性痴呆,1-3个月
颤证,2-6月
麻风性葡萄膜炎,3个月
真菌性心包炎,3-6个月
麻风性周围神经病,3-5年
肠风,7天
真菌性巩膜炎,5-15天
麻疹样红斑,7-14天
肠结,2-4周
马尔尼菲青霉病,2-4月
肠郁,2-4个月
马方综合征,终身间歇性治疗
常染色体隐性遗传性脑动脉病伴白质脑病,3-6个月
马拉色菌病,2-4个月
巴西紫热,1-3个月
潮热,3-6个月
脉络丛乳头状瘤,1-3个月
成人肥大性幽门狭窄,4-8周
赤白游风,1-3年
脉络膜出血,1-3个月
多乳房,2-4周
脉络膜骨瘤,1-3个月
赤痢,3个月
低钾血症肾病,10-30天
赤脉传睛,3-6个月
脉络膜脱离,1-2年
非ST段抬高心肌梗死,15天
赤脉贯布,1-3周
脉络膜脱离型视网膜脱离,3-14天
脉络膜新生血管,1-2年
赤膜下垂,3-6个月
肝脏疾病所致贫血,30天
脉络膜血管瘤,3-6个月
赤丝虬脉,3个月
高颅压性脑积水,4-8周
螨皮炎,30天
赤游丹,10天
急性蜂窝织炎,14天
虫臌,1-3个月
脊膜瘤,3-6月
虫积,6-8周
急性视网膜坏死综合征,3个月
虫证,1-2周
喘证,3个月
慢性创伤性滑囊炎,10天
疮疡,7-14天
慢性颈部软组织损伤,1-2个月
免疫缺陷性肺炎,1-3个月
大肠湿热,4-6周
慢性酒中毒,3-5年
小儿尿路感染,7天
大头瘟,7天
小儿肾性氨基酸尿症,1-3个月
带下病,1个月
慢性卡他性结膜炎,1-3年
原发性阿米巴脑膜脑炎,10-30天
慢性溃疡性非肉芽肿性空肠回肠炎,2-3月
丹痧,6-12周
阿克森费尔德-里格尔综合征,3-7周
胆咳,10--14天
慢性劳损性腰背痛,7-21天
Austin型幼儿脑硫脂病,2-3个月
胆热,15天
慢性盆腔炎,1-3个月
阿司匹林诱发哮喘,1-7天
慢性肾性贫血,30天
慢性腰部劳损,1-24个月
海绵状淋巴管瘤,8-12周
胆石,1-2个月
慢性自身免疫性甲状腺炎,2-4周
颈椎单侧及双侧小关节脱位,3个月
胆胀,3个月
脊髓血管畸形,14--30天
慢性纵隔炎,3-6个月
癫病,30天
酒精中毒性肌病,3个月
慢性阻塞性肺疾病,需要终身治疗
癫狂病,一般1-3个月，有些需持续药物治疗
老年大便失禁,治疗周期30天
盲肠扭转,2-4月
盲肠旁疝,2-4个月
肋骨骨髓炎,10-15天
电脑病,1-2个月
疔疮,1-2周
淋巴细胞性垂体炎,2-4个月
毒热侵肤,1-2个月
猫抓病,1-3年
脑干胶质瘤,1-3个月
顿呛,1-2周
偏执狂,终生用药治疗
毛孢子菌病,3-6个月
恶寒发热,7天
帕金森病性痴呆,2-4年
毛滴虫病,6-8周
Stargardt病,1-3个月
毛根鞘癌,1-2个月
儿童顿咳,7-10天
毛霉病,2-5月
耳疮,2-4周
毛母质瘤,3-6周
毛囊角化病,6-12个月
三叉神经营养性损害,3-6周
毛囊瘤,2-4周
糖代谢异常伴发的精神障碍,1-2个月
毛囊漏斗肿瘤,3-6月
耳疔,7--10天
奥迪括约肌功能异常,3-6个月
新生儿巨细胞病毒感染,4-8周
耳疖,7--10天
毛囊脓疱病,2-4周
小儿脑性瘫痪,3个月
毛囊皮脂腺囊性错构瘤,4周
耳痈,7天
症状性癫痫综合征,1-3个月
反社会人格障碍,1-3个月
镇痛剂肾病,2年
毛囊性黏蛋白病,3-6个月
反射性神经障碍症,1-3年
毛囊性鱼鳞病,7-14天
周围动脉栓塞,1-2个月
房事头疼症,1个月
多发性脑膜瘤,1--2个月
飞扬喉,1-3个月
高眼压症,2-3周
肥疮,4周
急性腮腺炎性睾丸炎,3-4周
肥气,1-3个月
克雷白杆菌属感染,3-6周
嘧啶5′-核苷酸缺乏症,3个月
毛囊周围纤维瘤,3-6周
维生素D缺乏病,90天
肺闭喘咳,1-2个月
毛盘瘤,3-7周
维生素E缺乏神经病,1-2个月
肺风粉刺,2-4周
毛胚细胞瘤,2-4月
新生儿发热,7-14天
肺咳,1周
血卟啉病性周围神经病,15-30天
毛鞘棘皮瘤,1-3个月
肺络张,2-3个月
下丘脑综合征,2-4个月
毛细淋巴管瘤,1-3个月
显微镜下多血管炎,2-4月
毛细血管或静脉血栓形成,2-4周
肺气虚,10-30天
缢死,2-7天
肺热咳嗽,7天
毛细血管扩张性共济失调综合征,1-2个月
百草枯中毒,长期的治疗
肺功能衰竭,1-3个月
毛细血管扩张性环状紫癜,3-6个月
复孔绦虫病,1个月
肺衰,2-4周
毛圆线虫病,1-2个月
鞍结节脑膜瘤,1-2个月
肺痿,3-6月
毛状白斑,1-2年
过敏性紫癜肾炎,1-3个月
肺胀,10-15天
梅毒性巩膜炎,3-5月
获得性血友病,终身治疗
梅毒性骨软骨炎,30天
女性性高潮障碍,3-6个月
风痹,7-14天
梅毒性关节炎,3-6个月
脾良性肿瘤,4-8周
风寒犯肺,7天
梅毒性角膜病变,1-3个月
葡萄状肉瘤,3-6月
风寒感冒,7天
梅毒性葡萄膜炎,2-4个月
失盐性肾炎,1-3个月
风寒头痛,10-15天
梅克尔细胞癌,1-3个月
维斯科特-奥尔德里奇综合征,1-3个月
风轮赤豆,2-4周
梅勒尼坏疽,1-2个月
遗传性蛋白C缺陷症,终身治疗
风轮湿热,1-3年
梅尼埃病,3-6个月
小儿过敏性紫癜,1-2个月
风秘,1-2个月
湄公血吸虫病,30天
血管内大B细胞淋巴瘤,10-30天
风牵偏视,3-6个月
门静脉高压性胃病,1个月
新生儿持续性肺动脉高压,2-4周
风热疮,2-4周
门静脉血栓形成,1-2个月
风热犯肺,1个月
门脉高压性肠病,1-2个月
新生儿肾静脉血栓,1-3个月
风热感冒,7-14天
弥漫性空回肠溃疡,1-3个月
风热头痛,7-10天
异尖线虫病,4-6周
弥漫性食管壁内憩室,5-30天
左房恶性黏液瘤,3-6个月
弥漫性掌跖角化病,10-30天
多发性骨骺发育不良,终身间接性治疗
风搔痒,1-3月
米氏链球菌肺炎,3-6周
多发性肌炎和皮肌炎伴发的精神障碍,终身间歇性治疗
泌尿道肿瘤,1-3个月
风温,4-6个周
泌尿道肿瘤皮肤转移,3-6周
混合瘤,7-14天
肤胀,2--3周
泌尿生殖系阿米巴病,4-8周
巨细胞动脉炎和风湿性多肌痛,1-3个月
伏梁,2-4月
泌尿生殖系滴虫病,1-3个月
结节性多动脉炎伴发的葡萄膜炎,1-3个月
伏暑,7-14天
泌尿生殖系放线菌病,1个月
皮肤颌口虫病,7-14天
妇女咳嗽性遗尿,10天
泌尿生殖系棘球蚴病,4-6周
艾滋病神经系统损害,终身治疗
泌尿生殖系血吸虫病,1--3个月
瑞尔黑变病,终身间歇性治疗
泌尿生殖系真菌病,一个月
痛风性心肌病,2-4月
泌尿生殖系支原体感染,2-4周
复发性多软骨炎性,2-4个月
血清病和血清病样反应,2--6周
干槽症,4-6周
棉尘肺,1-3个月
原发性皮肤B细胞淋巴瘤,2-4个月
干血痨,3个月
药物或化学物质所致的色素沉着,1--3个月
面部播散性粟粒状狼疮,3个月
肝胆湿热,1-3个月
重金属中毒性肾病,2-4年
面部脓皮病,3个月
肝风内动证,1-3个月
癌肿性关节炎,7-14天
肝火犯肺,15天
动脉阻塞或狭窄视网膜病变,3个月
面部偏侧萎缩,1-2个月
肝火上炎证,1-2个月
肺并殖吸虫病,1-2个月
肝火眩晕,7-10天
肺孢子丝菌病,3-8周
肝厥,1-3个月
继发于无晶状体眼和人工晶状体眼的青光眼,4-8月
面部肉芽肿,3个月
肝咳,2-4月
面肌抽搐,2-4周
肝热病,3-6月
慢性萎缩性肢皮炎,1-3个月
面颈部毛囊性红斑黑变病,1-3个月
肝胃不和,7-10天
食管梅毒,1--3个月
肝瘟,3-6月
面瘫唇肿裂纹舌综合征,3-6个月
梭形细胞血管内皮细胞瘤,1-2个月
外伤性硬膜下积液,1个月
摩擦黑变病,3-6月
胸内甲状腺肿,6-8周
肝血虚证,10天
摩擦性苔藓样疹,1-3个月
心脏横纹肌瘤,3-6个月
肝炎,1-3个月
摩根菌肺炎,3-6个月
肝阳上亢,1-3个月
幼儿急疹,7天
木村网状肢端色素沉着,3个月
永存原始玻璃体增生症,3个月
肝著,4-6周
原卟啉病,1-3个月
肛廔,1个月
赖特综合征性巩膜炎,1个月
原藻病,1-3个月
骨膜炎,2-4个月
内分泌性肌病,3-6月
纵隔气肿,7-14天
骨蒸,3--6个月
椎动脉创伤性栓塞,10天
鼓胀,14-30天
内脏利什曼病,1--3个月
瓜藤缠,2-3月
内脏血吸虫炎,2个月
关格,3个月
假性动脉瘤,4-8周
东方马型脑炎,1年
男假两性畸形,1-3个月
腘动脉损伤,2-3月
呃逆,7天
男性青春期乳房发育,4-8周
腘肌肌腱炎,3-6月
耳湿疹,5--7天
男性性早熟,3-6月
腘动脉陷迫综合征,3个月
黄斑裂孔性视网膜脱离,10-15天
男子雄激素源性秃发,治疗周期90天
过敏性眼睑皮肤炎,8-12周
脊柱裂和有关畸形,1--6个月
脊疳,1-3个月
脊髓型颈椎病,1-3个月
难治性心力衰竭,14--30天
寒痹,1-2个月
颅骨骨瘤,3-6月
寒湿困脾,4-8周
颅狭症,1-3个月
脑干损伤,30天
寒湿泄泻,4-8周
脑猪囊尾蚴病,1--3个月
脑干肿瘤,3-6个月
寒饮咳嗽,7-10天
脑膜癌病,1-3年
脑回状颅皮,1-3个月
脑膜炎球菌性脑膜炎,14天
丘疹坏死性结核疹,2-4月
脑膜炎球菌血症,7-14天
外伤后颈内动脉闭塞,1-3个月
脑膨出和脑脊膜膨出,2-4月
新生儿弥散性血管内凝血,1-3个月
脑桥中央髓鞘溶解症,3--10周
寒滞肝脉证,1-3个月
中间葡萄膜炎,4-6周
脑缺血性疾病,1-3个月
汗证,4-6周
尿道结核,9个月
膀胱脱垂,3个月
红蝴蝶疮,1-3月
脑外伤后综合征,1-6个月
肾上腺髓质增生,1-3个月
喉痹,6-12个月
喉疮,1-3个月
肾周围炎,4-8周
脑型疟疾,1-3个月
喉喑,2-4月
脑型血吸虫病,30天
烟酸缺乏,2-4个月
尼曼-皮克病,3-6月
I型糖尿病,需要终身治疗
泥螺-日光性皮炎,3个月
喉痈,1-3周
黏多糖贮积症,3个月
狐惑,3个月
黏多糖贮积症Ⅰ型,6个月
花柳病,14--21天
黏多糖贮积症Ⅱ型,终身间歇性治疗
花翳自陷,7--14天
黏多糖贮积症Ⅲ型,2-4个月
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,3-6个月
黏多糖贮积症Ⅳ型,终身间歇性治疗
A链球菌群感染,治疗周期7天
化脓性角膜炎,3-5周
黏多糖贮积症Ⅴ型,终身间歇性治疗
环跳疽,1-3个月
肛周肿瘤,4～8周
黏多糖贮积症Ⅵ型,大部分患儿需要终身治疗
黄水疮,10-20天
股动脉瘤,3个月
黏多糖贮积症Ⅶ型,2-4月
黄体功能不全性不孕,1-3个月
纳尔逊综合征,1-6个月
蛲虫性阴道炎,7-14天
回乳,7-10天
黏多糖贮积症Ⅷ型,终身间歇性治疗
柞蚕蛹脑病,1-2年
变性近视的脉络膜萎缩,7-10天
哕,3-7天
感染性急性小管间质性肾炎,6-12个月
黏膜白斑,6-12个月
混合痔,15-30天
混睛帐,1-3个月
黏膜白色海绵状痣,1-3个月
火眼,5-7天
黏膜相关样组织淋巴瘤,3-6个月
肱骨髁间骨折,90天
积聚,2--6周
黏液纤维肉瘤,治疗周期发现后终身治疗
骨神经鞘瘤,2-4月
黏液性小汗腺癌,1--6个月
积滞,1-2周
肱骨远端全骨骺分离,1-3个月
急喉风,3-6周
骨髓-胰腺综合征,2-4月
急黄,1-2个月
踝部急性韧带损伤,10-30天
急淋,7-30天
腹腔妊娠,30天
棘间韧带损伤,3-6个月
棘突骨折,3--6个月
黏脂贮积症Ⅰ型,3个月
棘突滑囊炎,6-12个月
脊髓蛛网膜炎,2-3个月
黏脂贮积症Ⅱ型,1-3个月
脊髓火器伤,3-6个月
黏脂贮积症Ⅲ型,3个月
棘突压痛,3-6个月
桡骨干骨折,7-90天
黏脂贮积症Ⅳ型,终身间歇性治疗
脊髓灰质炎后遗症,1-2个月
念珠菌病,7-14天
热带痉挛性轻截瘫,1-3个月
脊椎骨质增生,1-3个月
念珠状发,3个月
同种免疫性新生儿血小板减少性紫癜,3个月
脊椎外伤,1-3个月
念珠状红苔藓,1-3年
夹色伤寒,1-3个月
鸟枪弹样视网膜脉络膜病变,终身治疗
胸椎椎管狭窄症,1-2个月
夹阴伤寒,2-4周
尿道旁腺癌,30天
眼眶肌炎,4-6个月
间质膀胱炎局限外阴炎和脱屑性阴道炎综合征,2-4周
尿道憩室,2-4周
跖骨头骨软骨病,2-4月
煎厥,3-5个月
尿道缺如及先天性尿道闭锁,1个月
椎管内脊膜瘤,3-6个月
睑板腺囊肿,7-14天
尿道肉阜,7--10天
闭合性气胸,7-14天
第1跖趾骨关节炎,2-4周
鼻疽,10天-30天
尿毒症性心包炎,30天
交肠,14--21天
贝壳甲综合征,1-2个月
尿毒症性心肌病,3个月
电击伤所致脊髓病,1-2个月
椒疮,3-6个月
尿黑酸尿与褐黄病,2-8周
喉部钝挫伤,21天
镍皮炎,8-12周
急性失血性贫血,1-2个月
角膜葡萄肿,2-4月
牛痘,4-6周
节育手术并发症,1-3个月
血影细胞性青光眼,30天
牛痘样水疱病,1-3个月
口腔结核性溃疡,1-3个月
电灼伤,10天
农民肺,3-6个月
结胸证,1个月
热性嗜中性白细胞皮肤病,2-4个月
金疮,7--10天
农药中毒性肾病,1-3个月
小儿砷中毒,4-8周
脓毒症和菌血症,4周
眼酸碱化学伤,7-30天
筋痹,3-6月
脓疱病,7-14天
女性的青春期延迟,3个月
筋骨懈堕,3-6个月
急性放射性甲状腺炎,10天
女性生殖道多部位原发癌,恶性肿瘤没有期限
筋瘤,1-2周
夏季皮炎,10--30天
女性性早熟,3-6个月
筋痿,1-2个月
长Q-T间期综合征,1-3个月
Poncet综合征,2-5月
进行性脊肌萎缩症,3个月
恶性黑素瘤,30-60天
PUVA雀斑样痣,1-3个月
浸淫疮,2-4月
腹膜假黏液瘤,2-4月
膀胱不发育与发育不全,3周--3月
噤口痢,7-10天
颈部纤维瘤,一般治疗周期在10天时间
膀胱结核,12个月以上
经行发热,2-4周
膀胱平滑肌瘤,10天
经行流涎,3-6个月
膀胱平滑肌肉瘤,6-8个月
卡波西水痘样疹,2-4周
经行尿感,7-14天
膀胱葡萄状肉瘤,3个月
淋巴丝虫病,1-3个月
经行舌麻,30天
膀胱憩室,2--4周
经行头痛,10天
膀胱上内疝,15-30天
弥漫性筋膜炎,3-6周
经行泄水,2-4周
Pancoast综合征,3个月
膀胱嗜铬细胞瘤,3个月
惊风,1-3天
外阴白化病,3个月
膀胱输尿管反流,10-30天
阴茎结核,3-5年
精瘀证,3-6个月
膀胱与尿道结石,2-4周
α1-抗胰蛋白酶缺乏性脂膜炎,1-3个月
精子增多症,1-3个月
膀胱肿瘤,4-8周
触电,1-2周
痉病,3-6个月
贲门黏膜撕裂综合征,1-3个月
迪厄拉富瓦病,7天
久疟,1个月
脯肽酶缺乏症,1-3个月
单纯性外阴阴道念珠菌病,1-2周
久泄,7天左右
盘尾丝虫病,1-3个月
宫颈复发癌,3-6月
疱疹样皮炎,1-2个月
酒胀,1-2个月
复发性髌骨脱位,30天
盆底腹膜疝,4周
聚星障,1-3周
宫颈腺癌,2-4月
盆腔脓肿,1个月
厥脱,2-4周
庚型病毒性肝炎,1-3个月
皮肤B细胞淋巴样结节型增生,1-3个月
厥阴头痛,15天
急性纵隔炎,7-30天
皮肤T细胞淋巴样增生,3-6个月
厥证,1-3个月
皮肤阿米巴病,10-30天
皲裂疮,1-3个月
急性共同性斜视,2-4周
皮肤白细胞破碎性血管炎,3个月
皮肤白血病,4-8周
考后综合症,治疗周期30天
老年性紫癜,2-4年
皮肤卟啉病,4～12个月
客忤,7-14天
盆腔炎性肿块,3-6个月
皮肤穿入性毛囊和毛囊周角化病,1--3个月
口糜,7天
盆腔结缔组织炎,10-15天
皮肤恶性黑色素瘤,1-3个月
口腔粘膜病,2-4周
前置血管,1-2周
口腔粘膜黑棘皮病,10-30天
皮肤发育不良,2-4周
皮肤弓形体病,3-6个月
妊娠瘙痒性荨麻疹性丘疹及斑块病,7-10天
口周湿疹,7-14天
皮肤骨瘤,3-6月
妊娠合并特发性血小板减少性紫癜,2-4周
苦夏,7--10天
皮肤骨髓纤维化,3--6月
胎死宫内,8-12周
狂病,40天
皮肤利什曼病,8-12周
痨瘵,1-2年
皮肤淋巴肉芽肿病,3个月
痛性肥胖病,6-12个月
老年人原发性恶性高血压引起的恶性小动脉肾,3个月
皮肤淋巴细胞浸润症,2-4个月
雷头风,7-14天
皮肤淋巴细胞瘤,1-3个月
外阴-阴道-牙龈综合征,4-8周
肋间神经痛,2-4周
先天性无转铁蛋白血症,2-4个月
月经过多,1-3个月
离位皮炎,1-3个月
皮肤黏膜淋巴结综合征,6-8周
黧黑斑,1-2年
阴道横纹肌肉瘤,3个月
皮肤黏液瘤,3-6月
臁疮,2-4周
多胎妊娠,1-9月
凉燥,15天
弓形体病,2-4月
皮肤软骨瘤,3-6个月
皮下裂头蚴病,1-3个月
皮肤瘙痒症,5--7天
淋证,7--14天
皮肤神经瘤,2-4月
流痰,1-2个月
流注,7-14天
皮肤丝虫病,1-3个月
六瘤,1-3个月
皮肤松垂,1-3个月
流感病毒肺炎,2-5周
癃闭,1个月
皮肤炭疽,15--30天
偻附,2-4月
肠瘘,30天
皮肤纤毛囊肿,2-4周
颅脑先天畸形,1-3年，可能需多次手术
挛痹,2-4周
楚尔盖分枝杆菌感染,1个月
皮肤纤维瘤,14-30天
急性肠系膜淋巴结炎,7天
瘰疬,2-4周
皮肤腺样囊性癌,1-2个月
朗格汉斯组织细胞增多症,3个月
皮肤行为症,3-6年
水蛭咬伤,1-5天
维生素B1缺乏症,2-4个月
皮肤蝇蛆病,3-6个月
维生素A缺乏神经病,150天左右
皮肤幼虫移行症,3个月
马牙,治疗周期5天
小儿马方综合征,2-4月
皮肤猪囊尾蚴病,2-4个月
蚂蚁叮咬,2--5天
皮肤子宫内膜异位症,1-3个月
自发性腹膜后出血或血肿,3-6个月
皮角,3-6个月
瘢痕性脱发,3个月
脉痹,1-3个月
皮克病,3-6月
表皮内嗜中性IgA皮肤病,3-6月
脉痿,2-4周
皮克病性痴呆,3个月
包茎,2-4周
脉溢,1周
皮下T细胞淋巴瘤,1-2个月
纯红细胞再生障碍,1-2个月
慢惊风,1-3天
皮下脂肪肉芽肿,3个月
蚕食性角膜溃疡,1-3月
慢脾风,1-2个月
皮下脂膜炎性T细胞淋巴瘤,1-3个月
低增生性急性白血病,1-2个月
慢性肝炎,终身间歇性对症治疗
单纯疱疹性脑炎,1-3个月
皮样表皮样囊肿,3-6个月
汞及其化合物引起的皮肤病,8-12周
皮脂缺乏症,2-4月
慢性咳嗽,病因不同，治疗周期
化脓性食管炎,1-3个月
皮脂腺癌,1--6个月
慢性疲劳综合症,1-2年
虹膜色素痣,3-6个月
猫眼疮,2-4周
皮脂腺腺瘤,手术治疗周期7天
急性腰背部扭伤,4-8周
瞀瘛,7-10天
睑皮松垂症,3个月
梅核气,10天
畸胎瘤,2-3周
猛兽伤,根据不同情况而定，一般1-3月
面游风,7-21天
皮脂腺增生,1-3个月
明癣,2-4周
脾动脉瘤,1-3个月
淋球菌感染,2-4周
目病,2-4周
脾囊肿,2周-6个月
内热,1-3个月
脾脓肿,1-3个月
流行性角膜结膜炎,7-14天
内伤发热,2-4周
脾脏转移性肿瘤,8-12周
阿米巴结肠炎,1-3月
奶麻,1-3个月
片吸虫病,1-3个月
匐行性脉络膜萎缩,3个月
男科外伤,7--14天
沙眼衣原体肺炎,6个月
囊痈,2-4周
胼胝,2-4周
脑胶质瘤,10-30天
视网膜毛细血管血管瘤,30天
视网膜后膜,6-12个月
脑痨,2-3年
视网膜下纤维化和葡萄膜炎综合征,30天
胼胝体进行性变性,终身间歇性治疗
特发性青春期延迟,1-2年
品他病,3-7周
品行障碍,1-3年
隐性脊柱裂,4-8周
脑鸣,3-6个月
平底足,120天
眼眶骨肉瘤,1-2个月
脑萎,6-12月
平滑肌肉瘤,3-6月
原发性输卵管癌,1-2年
尿毒症昏迷,3个月
蹼状阴茎,1-2年，部分病例需多次矫正
眼部毛细血管瘤,8-12周
尿精,1-3个月
先天性膀胱颈挛缩,1-2个月
眼睑恶性黑色素细胞肿瘤,3个月
颞骨和下颔骨关节异常,8-12周
寇热,1-2个月
阿-斯综合征,1-3月
脓包疮,3个月
真菌性尿路感染,2-4周
脓窠疮,2-4月
槭糖尿病,1-3个月
耳廓软骨膜炎,1-3个月
胬肉攀睛,7-14天
慢性反流性肾病,10-30天
漆所致皮肤病,8-12周
女劳疸,2-4周
猴痘,10-15天
其他病毒肺炎,1-3个月
女子梦交,1个月
喉上神经损伤,1-3月
其他弧菌感染,1周时间可以治愈
Pasini-Pierni进行性皮肤萎缩,2-4周
急性髌骨脱位,1-3个月
其他晶体性关节病,3--8周
膀胱咳,1-3个月
其他类精神活性物质依赖,3个月
急性后部多灶性鳞状色素上皮病变,2-3个月
甲状舌管囊肿,3--6周
其他沙门菌感染,治疗周期7天
奇孔古尼亚病毒性疾病,1-3月
急性坏死出血性脑脊髓炎,3-6周
脐部脐肠系膜管息肉,7-10天
链球菌中毒性休克综合征,4-6周
脐尿管囊肿,1-2个月
膀胱气痛,2-4周
弥漫性胸膜间皮瘤,局限期治疗周期短，弥漫期周期长
脐疝,手术治疗7天支持性治疗3～6个月
盆腔炎症性不孕症,6-8个月
脐炎,2-5周
皮痹,7-10天
慢性腰背痛,10-30天
起搏器综合征,1-2周
皮肤病,90—180天
浅表性皮肤脂肪瘤痣,2周
气单胞菌肺炎,2-3月
脾疳,2-4周
气管及支气管发育障碍,30天
卫氏并殖吸虫病,8-12周
气管梗阻,120天
脾劳,1-3个月
先天性后尿道瘘,2-4月
气管前间隙感染,1-3个月
脾水,2-4周
先天性长结肠,14-28天
气管食管瘘,1-3月
烟酸缺乏神经病,3-6月
脾虚泄泻,3个月
气性膀胱炎,7--14天
脾约,15-30天
咽后间隙感染,14天
髂骨取骨后盆侧腹壁疝,7--21天
痞满,1个月
咽食管憩室,2-4周
痞气,3个月
变应性皮肤结节性血管炎,2-4月
睥翻粘睑,1-2周
单发脑梗死性痴呆,3-6个月
髂骨致密性骨炎,3个月
匐行穿孔性弹性组织变性,4-8周
千足虫灼伤,2-4周
环咽肌失弛缓症,1-2周
前臂动脉损伤,1-3个月
褐黄病,2-6个月
前骨间神经卡压综合征,1-3个月
黑舌,1个月
偏沮,2-4周
甲氨蝶呤相关的淋巴增殖性疾病,1-2个月
前列腺囊肿,7天
干呕,20-30天
功能失调性子宫出血病,10-30天
口角炎,14天
漆疮,2--4周
口腔毛滴虫病,2-4周
气腹痛,3-7周
口腔菜花状乳头瘤病,3个月
前列腺脓肿,治疗周期21天
气臌,2-4周
口腔灶性上皮增生,2-4周
前列腺肉瘤,1-3个月
气痢,1-3周
颏下皮样囊肿,8-12周
前十字韧带损伤,1-3个月
气瘤,2-4月
前庭大腺癌,1-2个月
眶周色素沉着,2-4周
前庭大腺囊肿,7-10天
气秘,3-6周
膜性肾病,6-12个月
前纵韧带骨化症,1-3个月
气疝,7-14天
牙源性皮瘘,1-3月
气虚眩晕,1-2个月
下颈椎不稳症,3个月
气瘿,2-4周
颜面复发性皮炎,6-8周
钱币状湿疹,1-2个月
气胀,5天
淤积性皮炎,3-6个月
钱币状掌跖角化病,7--21天
憩室病,10-30天
埃利希体病,3-6个月
浅部急性淋巴结炎和淋巴管炎,2-4周
千日疮,3-6个月
包涵体肌炎与遗传性包涵体肌病,3个月
嵌顿性腹股沟斜疝,7-10天
嵌顿包茎,2-4周
布氏杆菌红斑,3-6个月
腔隙性脑梗死,需要终身治疗
情感性交叉擦腿症,1--3个月
强直性脊柱炎性巩膜炎,1-2个月
秋燥,2-3周
侵袭性婴儿纤维瘤病,1-3个月
胞内分枝杆菌感染,2-5周
癔病性昏厥,7-14天
热痹,3--10周
传染性淋巴细胞增多症,1-2个月
热毒冲心,1-3个月
青春期发育迟缓,3-6个月
单纯性雀斑样痣,30天
青春期功能失调性子宫出血,4-6周
热汗,7-10天
带状疱疹病毒性巩膜炎,7-14天
青春期功能失调性子宫出血病,7-14天
热咳,15-20天
等孢球虫病,7-30天
热秘,15-30天
热入血室,7-10天
单纯疱疹病毒性巩膜炎,2-4周
青年人中的成年发病型糖尿病,3个月
非01霍乱弧菌肠炎,3-7天
热伤风,1-2周
青年上肢远端肌萎缩,6-12个月
热射病,2-4周
钩端螺旋体病的肾损害,2个月
青年心肌梗死,2-4月
热哮,2-4月
回归热型结节性非化脓性脂膜炎,1-3个月
青年性驼背,1-2个月
热中,1周
黄韧带骨化症,1-3年
青少年及小儿卵巢肿瘤,3个月
妊娠恶阻,7--14天
间插血吸虫病,3-6个月
青少年及小儿阴道肉瘤,1-3周
妊娠热病,7天
阿尔茨海默病性痴呆,需要终身治疗
青少年及小儿阴道透明细胞癌,3-6个月
肉痹,长期
类鼻疽杆菌肺炎,4-6周
青少年及小儿子宫颈癌,3个月
肉痉,数月到数年
丘疹性荨麻疹,3-6周
肉瘿,3个月
囊性肾病,1-2个月
乳发,3-6周
性功能异常伴发的精神障碍,1-3年
乳痨,6个月以上
丘疹性血管增生,3个月
职业性痤疮,1-3个月
乳疬,1-2个月
丘疹紫癜性手套和短袜样综合征,10-30天
软纤维瘤,2-3周
乳泣,2-4周
曲霉病,4-6周
散发性甲状腺肿,1-3个月
乳痈,7-14天
曲霉球,10-30天
水痘-带状疱疹性葡萄膜炎,60天
蓐劳,14--21天
躯体感染伴发的精神障碍,1--3个月
鼠疫耶尔森菌肺炎,8-12周
三痹,10-30天
全身性发疹性组织细胞增生症,1--2个月
全身脂肪代谢障碍,终身治疗
三焦咳,7-10天
缺血性多形性室性心动过速,2-4个月
投掷骨折,1--3个月
色厥色脱,2-4周
Reis-Bucklers角膜营养不良,1-3个月
退变性骶髂关节炎,1-3年
色素斑,7-10天
Rh血型不合溶血病,2-4月
结核性心包炎,1-2年
色欲伤,30-60天
诺卡菌病,1-3个月
花粉过敏性哮喘,7-14天
痧气,3-7天
染色体异常,1-2个月
旋前圆肌综合征,1-3个月
痧子,3周
染色体异常伴发的精神障碍,3-6月
伤风,7天
桡骨茎突骨折,8-12周
伤食泄泻,5天
光化性角化病,6-12个月
桡骨头骨折,手术治疗周期90天
新生儿ABO溶血病,7-14天
桡管综合征,1-3个月
少腹如扇,3-6个月
桡神经感觉支卡压,1-3个月
分离性垂直偏斜,2-4周
神昏,1-3个月
